name,variable,Use_Case
amodep 5 tablet,use0,Treatment of Hypertension (high blood pressure)
acidose 500mg tablet,use0,Treatment of Indigestion
ab-next gel,use0, Acne
avas 20 tablet,use0, High cholesterol
aqua ear drop,use0,Treatment of Ear infection
arflur-p tablet,use0, Pain relief
acnesol 1% solution,use0,Treatment of Bacterial infections
antiflu 12mg/ml syrup,use0,Treatment of Influenza (flu)
asiclopam tablet,use0,Treatment of Anxiety disorder
atorlip gold 20 capsule,use0,Prevention of Heart attack
amrox-ls junior syrup,use0, Chronic obstructive pulmonary disease (COPD)
alcarex eye drop,use0, Allergic eye disease
amantex tablet,use0, Parkinson's disease
acenac tablet,use0, Pain relief
adapen gel,use0, Acne
almefkem spas 10mg/250mg tablet,use0,Treatment of Menstrual pain
atonide cream,use0, Skin conditions with inflammation & itching
amcard 5 tablet,use0,Treatment of Hypertension (high blood pressure)
avene (abbott) 0.5mg/10mg tablet,use0,Treatment of Anxiety disorder
albutamol neo syrup,use0,Treatment of Asthma
atchol-asp capsule,use0,Treatment of Prevention of heart attack and stroke
arbitel-h tablet,use0,Treatment of Hypertension (high blood pressure)
aziderm 15% gel,use0,Treatment of Acne
axcer  60mg tablet,use0, Prevention of heart attack and stroke
abiways-m tablet sr,use0,Treatment and prevention of Chronic obstructive pulmonary disease (COPD)
astymin-3  10mg/8mg infusion,use0, Nutritional deficiencies
amlopres l tablet,use0, Hypertension (high blood pressure)
amifru plus tablet,use0, Edema
armotraz tablet,use0, Breast cancer
aldigesic th 100mg/4mg tablet,use0,Treatment of Pain due to muscle spasm
abixim 200mg tablet,use0,Treatment of Bacterial infections
arbitel-mt 50 tablet er,use0,Treatment of Hypertension (high blood pressure)
aziderm 20% gel,use0,Treatment of Acne
amiject 500mg injection,use0, Bacterial infections
azikem 250mg tablet,use0,Treatment of Bacterial infections
aten-d tablet,use0, Hypertension (high blood pressure)
altonil 5 tablet md,use0,Treatment of Insomnia
azipro 500 tablet,use0,Treatment of Bacterial infections
addphos granules,use0,Treatment of High calcium levels in the blood
alkof ls syrup,use0, Dry cough
alsita 50mg tablet,use0,Treatment of Type 2 diabetes mellitus
amlip 10 tablet,use0,Treatment of Hypertension (high blood pressure)
apdrops kt 0.4 eye drops bak free,use0,Treatment of Bacterial eye infections
acimol forte 100mg/325mg/15mg tablet,use0, Pain relief
acnetor ad gel,use0,Treatment of Acne
atocor 40 tablet,use0, High cholesterol
angicam 5mg tablet,use0,Treatment of Hypertension (high blood pressure)
aprezo 20 tablet,use0, Plaque psoriasis
amitax 500mg injection,use0, Bacterial infections
actibile 150 tablet,use0,Treatment of Primary biliary cirrhosis
atorva gold 20 capsule,use0,Prevention of Heart attack
allercet cold syrup,use0,Treatment of Common cold
alzero m tablet,use0,Treatment of Sneezing and runny nose due to allergies
azulix 1 mf forte tablet pr,use0,Treatment of Type 2 diabetes mellitus
azimax 250 tablet,use0,Treatment of Bacterial infections
aloja 25 tablet,use0,Treatment of Type 2 diabetes mellitus
arbitel-ct 40 tablet,use0, Hypertension (high blood pressure)
anthocyn-tx tablet,use0,Treatment of Melasma
actoid 25mg capsule,use0, Psoriasis
ascoril plus ls expectorant,use0,Treatment of Cough with mucus
aztor 5 tablet,use0, High cholesterol
aziwok 250 tablet,use0,Treatment of Bacterial infections
avastin 100mg injection,use0, Cancer of colon and rectum
acitrin 25mg capsule,use0, Psoriasis
antiblue 10mg tablet,use0,Treatment of Depression
arpimune me 50mg capsule,use0, Prevention of organ rejection in transplant patients
azithral tablet,use0,Treatment of Bacterial infections
ampiclox 250mg/250mg tablet,use0,Treatment of Bacterial infections
analiv 500 tablet,use0,Treatment of Liver  disease
actifed 25 mg/2.5 mg tablet,use0, Common cold
amlong a-25 tablet,use0,Treatment of Hypertension (high blood pressure)
azibact 250 tablet,use0,Treatment of Bacterial infections
alendrate 70mg tablet,use0, Osteoporosis
amrosys cream,use0, Fungal nail infections
aminophylline 250mg injection,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
ambrican 5 tablet,use0, Pulmonary arterial hypertension (PAH)
arkamin h tablet,use0, Hypertension (high blood pressure)
alex-l cough syrup mango sugar free,use0,Treatment of Dry cough
atorfit 10 tablet,use0, High cholesterol
alphagan p eye drop,use0,Treatment of Glaucoma
arzep nasal spray,use0,Treatment of Sneezing and runny nose due to allergies
angizem cd 90 capsule er,use0,Treatment of Hypertension (high blood pressure)
advent 457mg tablet dt,use0,Treatment of Resistant Tuberculosis (TB)
alcros 200 capsule,use0,Treatment of Fungal infections
amixide tablet,use0,Treatment of Depression
aztogold 10 capsule,use0,Prevention of Heart attack
alcoban 500mg tablet,use0,Treatment of Alcohol addiction
arvast-a 75 capsule,use0,Treatment of Prevention of heart attack and stroke
amlopin-at tablet,use0,Treatment of Hypertension (high blood pressure)
azilab 500mg tablet,use0,Treatment of Bacterial infections
amnuring 10 tablet sr,use0, Neuropathic pain
ablung 200mg tablet sr,use0, Chronic obstructive pulmonary disease (COPD)
afoglip tablet,use0,Treatment of Type 2 diabetes mellitus
acefen sp tablet,use0, Pain relief
aceclopar 100mg/325mg tablet,use0, Pain relief
acotrust  od 300mg tablet er,use0,Treatment of Functional dyspepsia
avas 40 tablet,use0, High cholesterol
acegaba nt 400mg/10mg tablet,use0,Treatment of Neuropathic pain
alerid cold tablet,use0,Treatment of Common cold
acolate tablet,use0,Treatment of Common cold
antoxid e softgel capsule,use0,Treatment of Vitamin E deficiency
agoprex tablet,use0, Depression
amlip 2.5 tablet,use0,Treatment of Hypertension (high blood pressure)
alnitro 2.6 tablet cr,use0,Treatment of Angina (heart-related chest pain)
alkem piroxicam injection,use0, Pain relief
azithral junior 200mg/5ml drop,use0,Treatment of Bacterial infections
amtris cream,use0, Fungal nail infections
af 300 tablet,use0,Treatment of Fungal infections
alaspan ag syrup,use0, Cough with mucus
asthalin ax jr expectorant,use0,Treatment of Cough with mucus
abiways 200 sr tablet,use0, Chronic obstructive pulmonary disease (COPD)
atorva 5 tablet,use0, High cholesterol
ambizyme 300mg tablet,use0, Worm infections
acegrow 3d tablet,use0, Asthma
alerfri tablet,use0,Treatment of Common cold
azee 500 injection,use0,Treatment of Bacterial infections
azenam 1gm injection,use0, Severe bacterial infections
aceret 25 capsule,use0, Psoriasis
alkarate liquid,use0,Treatment of Gout
alprax plus tablet sr,use0, Depression
arachitol 3l injection,use0,Treatment of Vitamin D deficiency
alex junior ds syrup,use0,Treatment of Dry cough
amtas-m 25 tablet pr,use0,Treatment of Hypertension (high blood pressure)
anset 4mg tablet md,use0,Treatment of Nausea
acecloren tablet,use0, Pain relief
atraxin 25 tablet,use0,Treatment of Anxiety
atorva gold 10 capsule,use0,Prevention of Heart attack
amlong-tl 40 tablet,use0,Treatment of Hypertension (high blood pressure)
apidra 100iu/ml solution for injection,use0, Diabetes
apraize 30 tablet,use0, Plaque psoriasis
azithral 500mg injection,use0,Treatment of Bacterial infections
ampoxin 1gm injection,use0,Treatment of Bacterial infections
aspirin 300mg tablet,use0,Prevention of Angina (heart-related chest pain)
akurit tablet,use0,Treatment of Tuberculosis (TB)
agna 10000 capsule dr,use0, Pancreatic enzyme deficiency
alkashot b6 oral solution delicious pineapple sugar free,use0,Treatment and prevention of Kidney stone
ascoril plus expectorant ginger lemon,use0,Treatment of Cough
atormac gold 10 capsule,use0,Prevention of Heart attack
altonil plus 5 tablet,use0, Anxiety disorder
acimol-sp tablet,use0, Pain relief
avas cv 20 capsule,use0, Heart attack prevention and high cholesterol
amlopres 2.5 tablet,use0,Treatment of Hypertension (high blood pressure)
aceclowal p 100mg/500mg tablet,use0, Pain relief
airtec fb 400 instacap,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
ablung 100mg capsule,use0, Chronic obstructive pulmonary disease (COPD)
alex cold syrup berry,use0,Treatment of Common cold
armod 50 tablet,use0, Narcolepsy (Uncontrollable daytime sleepiness)
alcros sb 50 capsule,use0,Treatment of Fungal infections
ambrolite d plus syrup,use0,Treatment of Dry cough
alkem cold 5 mg/500 mg/5 mg tablet,use0,Treatment of Common cold
azovas t 40 tablet,use0,Treatment of Hypertension (high blood pressure)
a-ret 0.025% gel,use0,Treatment of Acne
anafortan drop,use0, Abdominal cramp
asomex-tm tablet,use0, Hypertension (high blood pressure)
aloatm 5% solution,use0, Hair loss
acekay sera tablet,use0, Pain relief
alprax 1mg tablet sr,use0,Treatment of Anxiety
amoxible-cl 625 tablet,use0,Treatment of Bacterial infections
alzil-m 10 tablet,use0, Alzheimer's disease
ageless tablet,use0, Nutritional deficiencies
apdrops dm eye drop,use0,Treatment of Bacterial eye infections
agycin 500mg tablet,use0,Treatment of Bacterial infections
aminowel infusion,use0,Treatment of Nutritional deficiencies
amnurite beta 10/40 er tablet,use0, Migraine
asklerol 3% injection,use0, Varicose veins
altonil 10 tablet,use0,Treatment of Insomnia
atorlip gold 10 capsule,use0,Prevention of Heart attack
anti druf lotion,use0,Treatment of Fungal skin infections
aceloflam plus tablet,use0, Pain relief
altonil plus 10 tablet,use0, Anxiety disorder
actemra 400 mg injection,use0,Treatment of Ankylosing spondylitis
ampilox cv 500 mg/125 mg tablet,use0,Treatment of Bacterial infections
alconol 500mg tablet,use0,Treatment of Alcohol addiction
atchol cv capsule,use0, Heart attack prevention and high cholesterol
atormac gold 20 capsule,use0,Prevention of Heart attack
acepar 100mg/325mg tablet,use0, Pain relief
ampanel 4 tablet,use0, Epilepsy/Seizures
albutamol syrup,use0, Chronic obstructive pulmonary disease (COPD)
aztor ez tablet,use0, High cholesterol
alfakit tablet,use0,Treatment of Chronic kidney disease
atocor 20 tablet,use0, High cholesterol
amitryn 25 tablet,use0,Treatment of Depression
atormac cv 20 capsule,use0, Heart attack prevention and high cholesterol
amrofast cream,use0, Fungal nail infections
arbitel-mt 25 tablet er,use0,Treatment of Hypertension (high blood pressure)
azithral-xl 100 liquid,use0,Treatment of Bacterial infections
azi 500mg tablet,use0,Treatment of Bacterial infections
alphadopa tablet,use0, Hypertension (high blood pressure)
abz 400mg tablet,use0,Treatment of Parasitic infections
allerkast lc tablet,use0,Treatment of Sneezing and runny nose due to allergies
amlodac t 40 mg/5 mg tablet,use0,Treatment of Hypertension (high blood pressure)
ascodex dx syrup,use0, Cough
aerodil-ls expectorant,use0,Treatment of Cough with mucus
absolut dm capsule,use0, Nutritional deficiencies
azikind 500mg tablet,use0,Treatment of Bacterial infections
avoprost d 8mg/0.5mg capsule,use0,Treatment of Benign prostatic hyperplasia
arbitel-av tablet,use0, High blood pressure with high cholesterol
atorlip 80 tablet,use0, High cholesterol
aquasurge  max eye drop,use0,Treatment of Dry eyes
androgel,use0,Treatment of Male hypogonadism
atocor-cv 10 capsule,use0, Heart attack prevention and high cholesterol
amnuring 5 tablet sr,use0, Neuropathic pain
aldactone t 10 tablet,use0,Treatment of Edema
ascodex plus syrup,use0, Cough
addkay tablet pr,use0,Treatment of Potassium deficiency
aggribloc 5mg infusion,use0,Prevention of Heart attack
acotibien 100mg tablet,use0,Treatment of Functional dyspepsia
althrocin 100mg drop,use0,Treatment of Pertussis
ambrodil-s plus syrup,use0, Cough
alsita-m 100 forte tablet er,use0,Treatment of Type 2 diabetes mellitus
amoxil 250mg capsule,use0,Treatment of Bacterial infections
amicet plus tablet,use0, Common cold
azitus 500 tablet,use0,Treatment of Bacterial infections
atorlip-asp 20 capsule,use0,Treatment of Prevention of heart attack and stroke
allegra 30mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
acutrol c 400 tablet,use0, High phosphate levels in blood
ace proxyvon th 4 tablet,use0,Treatment of Muscular pain
almefkem-d tablet,use0,Treatment of Abdominal pain
anfoe 4000iu injection,use0,Treatment of Anemia due to chronic kidney disease
auxerg cream,use0, Fungal skin infections
ata tablet,use0,Treatment of Allergic conditions
amisant 200 tablet,use0, Schizophrenia
allercet-l tablet,use0,Treatment of Allergic conditions
andre plus eye drops,use0,Treatment of Allergic eye disease
arbitel 20 tablet,use0,Treatment of Hypertension (high blood pressure)
acrotac 10mg capsule,use0, Psoriasis
ara eye gel,use0, Dry eyes
aginal 5 tablet,use0,Treatment of Hypertension (high blood pressure)
amtas 2.5 tablet,use0,Treatment of Hypertension (high blood pressure)
aricep 10 tablet,use0, Alzheimer's disease
ad 10mg sachet,use0,Treatment of Diarrhea
a ret hc cream,use0, Melasma
astin cv 10 capsule,use0, Heart attack prevention and high cholesterol
arifine 2.5 tablet,use0, Schizophrenia
apilysin syrup,use0, Appetite stimulant
acetik-hc ear drop,use0,Treatment of Ear infection
aricep-m  tablet,use0, Alzheimer's disease
airtec fb 200 instacap,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
amoxy 250mg capsule,use0,Treatment of Bacterial infections
alorti tablet,use0,Treatment of Allergic conditions
app.up plus syrup,use0, Appetite stimulant
atormac tg tablet,use0,Treatment of High cholesterol
afoglip m  1000 tablet er,use0,Treatment of Type 2 diabetes mellitus
ambistryn-s 1gm injection,use0, Tuberculosis (TB)
anti cold syrup,use0,Treatment of Common cold
anxipam 0.5mg tablet md,use0,Treatment of Anxiety disorder
abmac tablet,use0, Asthma
alkof syrup orange,use0,Treatment of Cough with mucus
anin tablet,use0,Treatment of Premature Labor
acnedap plus gel,use0,Treatment of Acne
apresol plus tablet,use0,Treatment of Heart failure
azulix mv 2mg/500mg/0.3mg tablet sr,use0,Treatment of Type 2 diabetes mellitus
ace-proxyvon sp tablet,use0, Pain relief
angistat 2.5 capsule tr,use0,Treatment of Angina (heart-related chest pain)
anafortan n 100 mg/50 mg tablet,use0,Treatment of Abdominal cramp
atorlip cv capsule,use0, Heart attack prevention and high cholesterol
anozest cream,use0,Treatment of Anal fissure
amoxil 250mg tablet dt,use0,Treatment of Bacterial infections
acemiz 100mg tablet,use0, Pain relief
alrista plus tablet sr,use0, Diabetic nerve pain
ascapil 12a tablet dt,use0,Treatment of Worm infections
addex 500mg ointment,use0, Leg ulcers
acetik ear drop,use0, Ear infection
aisa  tablet,use0, Nutritional deficiencies
acolate p plus tablet,use0,Treatment of Common cold
airz-f digihaler,use0, Chronic obstructive pulmonary disease (COPD)
anleo-dsr capsule,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
aladrine 2.5mg tablet,use0, Low blood pressure
azarga eye drop,use0, Ocular hypertension
amlopres 10 tablet,use0,Treatment of Hypertension (high blood pressure)
anti-thyrox 5 tablet,use0, Hyperthyroidism
anthocyn-tx cream,use0, Melasma
anomed l cream,use0,Treatment of Anal fissure
ampoxin-cv 500mg/125mg tablet,use0,Treatment of Bacterial infections
azilide 250 tablet,use0,Treatment of Bacterial infections
app up syrup,use0, Appetite stimulant
apraize 10 tablet,use0, Plaque psoriasis
abirapro 250mg tablet,use0, Prostate cancer
acolate kid syrup mango,use0,Treatment of Common cold
androtas gel,use0,Treatment of Male hypogonadism
atorec-asp capsule,use0,Treatment of Prevention of heart attack and stroke
aziwok 100 liquid,use0,Treatment of Bacterial infections
amitryn-c tablet,use0,Treatment of Depression
azee 1000 tablet,use0,Treatment of Bacterial infections
adefresh 400 tablet,use0,Treatment of Liver  disease
abphylin 100mg capsule,use0, Chronic obstructive pulmonary disease (COPD)
adriamycin 50mg injection,use0, Cancer
azulix mv 2/0.2 tablet sr,use0,Treatment of Type 2 diabetes mellitus
ambrodil-xp capsule,use0, Chronic obstructive pulmonary disease (COPD)
augxetil 500mg tablet,use0,Treatment of Bacterial infections
adiff gel,use0, Acne
augplat 250mcg injection,use0, Chronic immune thrombocytopenia
actiheal-d tablet,use0, Pain relief
adilip 45 tablet dr,use0, High cholesterol
adalipca 40mg injection,use0, Ankylosing spondylitis
